Country_Name,Year,Access_to_electricity_(%_of_population),"Adjusted_net_enrollment_rate,_primary_(%_of_primary_school_age_children)",Adjusted_net_national_income_(constant_2015_US$),Adjusted_net_national_income_per_capita_(annual_%_growth),Adjusted_net_national_income_per_capita_(constant_2015_US$),"Annualized_average_growth_rate_in_per_capita_real_survey_mean_consumption_or_income,_bottom_40%_of_population_(%)","Annualized_average_growth_rate_in_per_capita_real_survey_mean_consumption_or_income,_total_population_(%)",CPIA_social_protection_rating_(1=low_to_6=high),CPIA_trade_rating_(1=low_to_6=high),"Central_government_debt,_total_(%_of_GDP)","Children_out_of_school,_primary",Current_account_balance_(%_of_GDP),Current_health_expenditure_(%_of_GDP),"Current_health_expenditure_per_capita,_PPP_(current_international_$)","Employment_to_population_ratio,_15+,_total_(%)_(modeled_ILO_estimate)",Exports_of_goods_and_services_(%_of_GDP),Exports_of_goods_and_services_(annual_%_growth),Final_consumption_expenditure_(%_of_GDP),Final_consumption_expenditure_(annual_%_growth),"Foreign_direct_investment,_net_inflows_(%_of_GDP)","Foreign_direct_investment,_net_outflows_(%_of_GDP)",GDP_(constant_2015_US$),GDP_(constant_LCU),GDP_growth_(annual_%),GDP_per_capita_(constant_2015_US$),GDP_per_capita_(constant_LCU),GDP_per_capita_growth_(annual_%),"GDP_per_capita,_PPP_(constant_2017_international_$)",GDP_per_person_employed_(constant_2017_PPP_$),"GDP,_PPP_(constant_2017_international_$)",Gini_index,"Government_expenditure_on_education,_total_(%_of_GDP)","Government_expenditure_on_education,_total_(%_of_government_expenditure)",Gross_domestic_income_(constant_LCU),Gross_domestic_savings_(%_of_GDP),Gross_national_expenditure_(constant_2015_US$),Gross_savings_(%_of_GDP),"Hospital_beds_(per_1,000_people)",Human_capital_index_(HCI)_(scale_0-1),"Human_capital_index_(HCI),_lower_bound_(scale_0-1)","Human_capital_index_(HCI),_upper_bound_(scale_0-1)",Income_share_held_by_highest_10%,Income_share_held_by_highest_20%,Income_share_held_by_lowest_10%,Income_share_held_by_lowest_20%,Increase_in_poverty_gap_at_$1.90_($_2011_PPP)_poverty_line_due_to_out-of-pocket_health_care_expenditure_(%_of_poverty_line),Increase_in_poverty_gap_at_$1.90_($_2011_PPP)_poverty_line_due_to_out-of-pocket_health_care_expenditure_(USD),Increase_in_poverty_gap_at_$3.20_($_2011_PPP)_poverty_line_due_to_out-of-pocket_health_care_expenditure_(%_of_poverty_line),Increase_in_poverty_gap_at_$3.20_($_2011_PPP)_poverty_line_due_to_out-of-pocket_health_care_expenditure_(USD),"Inflation,_GDP_deflator_(annual_%)","Inflation,_GDP_deflator:_linked_series_(annual_%)","Inflation,_consumer_prices_(annual_%)","Labor_force,_total","Life_expectancy_at_birth,_total_(years)","Literacy_rate,_adult_total_(%_of_people_ages_15_and_above)","Literacy_rate,_youth_total_(%_of_people_ages_15-24)","Mortality_rate,_infant_(per_1,000_live_births)","Mortality_rate,_under-5_(per_1,000_live_births)",Net_acquisition_of_financial_assets_(current_LCU),Net_barter_terms_of_trade_index_(2000_=_100),"Net_financial_flows,_bilateral_(NFL,_current_US$)",Net_foreign_assets_(current_LCU),Net_investment_in_nonfinancial_assets_(current_LCU),Net_lending_(+)_/_net_borrowing_(-)_(current_LCU),"Net_trade_in_goods_(BoP,_current_US$)",Number_of_under-five_deaths,Ores_and_metals_exports_(%_of_merchandise_exports),"Population,_total",Poverty_gap_at_$2.15_a_day_(2017_PPP)_(%),Poverty_gap_at_$3.65_a_day_(2017_PPP)_(%),Poverty_gap_at_$6.85_a_day_(2017_PPP)_(%),Poverty_headcount_ratio_at_$2.15_a_day_(2017_PPP)_(%_of_population),Poverty_headcount_ratio_at_$3.65_a_day_(2017_PPP)_(%_of_population),Poverty_headcount_ratio_at_$6.85_a_day_(2017_PPP)_(%_of_population),Poverty_headcount_ratio_at_national_poverty_lines_(%_of_population),Present_value_of_external_debt_(current_US$),Price_level_ratio_of_PPP_conversion_factor_(GDP)_to_market_exchange_rate,"Primary_completion_rate,_total_(%_of_relevant_age_group)",Public_private_partnerships_investment_in_ICT_(current_US$),Public_private_partnerships_investment_in_energy_(current_US$),Public_private_partnerships_investment_in_transport_(current_US$),Public_private_partnerships_investment_in_water_and_sanitation_(current_US$),Rail_lines_(total_route-km),"Railways,_goods_transported_(million_ton-km)","Railways,_passengers_carried_(million_passenger-km)",Real_interest_rate_(%),Renewable_electricity_output_(%_of_total_electricity_output),Renewable_energy_consumption_(%_of_total_final_energy_consumption),Renewable_internal_freshwater_resources_per_capita_(cubic_meters),Rural_land_area_(sq._km),Rural_population,Taxes_on_exports_(%_of_tax_revenue),Taxes_on_exports_(current_LCU),Taxes_on_international_trade_(%_of_revenue),Taxes_on_international_trade_(current_LCU),Trade_(%_of_GDP),Trade_in_services_(%_of_GDP),"Unemployment,_total_(%_of_total_labor_force)_(modeled_ILO_estimate)","Unemployment,_youth_total_(%_of_total_labor_force_ages_15-24)_(modeled_ILO_estimate)",Urban_population,Urban_population_(%_of_total_population),Urban_population_growth_(annual_%),"Vulnerable_employment,_total_(%_of_total_employment)_(modeled_ILO_estimate)","Wage_and_salaried_workers,_total_(%_of_total_employment)_(modeled_ILO_estimate)"
Africa Eastern and Southern,1999,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,66.54824264,25.15531823,9.384540772,235969024005.94077,2.094636657,2.447424518,0.678439841,491355000000.0,235969024005.94077,2.652282562,1255.100944,235969024005.94077,0.090308488,2872.697273,7815.38701,1124620000000.0,235969024005.94077,4.994909763,235969024005.94077,235969024005.94077,15.2489334,801472000000.0,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,8.006813297,235969024005.94077,7.819864776,156051286.0,51.23785191,61.42926025,70.53707123,88.51139842,142.9923551,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,2197673.0,18.46985824,391486231.0,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,50.30889893,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,15.43567173,65.16892741,5432.631626,235969024005.94077,279952322.0,235969024005.94077,235969024005.94077,235969024005.94077,235969024005.94077,45.42473136,11.46541818,7.015271574,13.07696414,111533909.0,28.48986785,3.601473618,73.4211236,22.93968374
Africa Eastern and Southern,2000,19.9579299,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,6.252428069,119.2773172,66.58644521,25.98892221,4.624654663,227044988038.0501,2.32965852,1.558123129,0.118396061,507835000000.0,227044988038.0501,3.353977539,1264.526699,227044988038.0501,0.750995728,2896.170594,7843.663755,1163100000000.0,227044988038.0501,3.769109964,15.89050961,227044988038.0501,16.87377465,881705000000.0,20.22827134,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,11.11730588,227044988038.0501,8.601485149,160695350.0,51.96448132,61.79697037,70.49597931,85.83172601,138.1802347,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,2161310.0,11.31331951,401600588.0,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,50.41252899,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,15.98373752,65.12879649,5297.447637,14875643.76,286048935.0,227044988038.0501,227044988038.0501,227044988038.0501,227044988038.0501,63.10290553,10.53225169,6.939536426,13.04544985,115551653.0,28.77277994,3.60226234,73.55380007,22.87147756
Africa Eastern and Southern,2001,19.98622032,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,6.390626975,126.6085201,66.65359369,27.14685197,3.955089019,246000157131.23685,3.882485007,4.837767563,-1.49466427,526387000000.0,246000157131.23685,3.653224228,1277.632516,246000157131.23685,1.036420739,2927.090133,7894.104612,1205970000000.0,246000157131.23685,4.572579861,246000157131.23685,246000157131.23685,17.21902853,908280000000.0,16.114412,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,8.629983989,246000157131.23685,5.840353983,165572958.0,52.18964821,62.51264954,70.57205963,82.80680922,132.7441217,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,2116129.0,19.84380572,412001885.0,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,52.48141098,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,17.5841681,65.58677252,5164.895584,246000157131.23685,292226383.0,246000157131.23685,246000157131.23685,246000157131.23685,246000157131.23685,64.03625578,11.28697229,6.850375724,13.04343219,119775502.0,29.07159081,3.655377392,73.58838686,22.8669422
Africa Eastern and Southern,2002,21.60150342,248977398506.52744,399157000000.0,248977398506.52744,944.2112897,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,5.969416486,124.9876316,66.73878746,28.37285109,4.119996956,248977398506.52744,3.404389931,2.503636381,-0.108173294,546944000000.0,248977398506.52744,3.905250267,1293.803019,248977398506.52744,1.265661533,2964.981839,7978.438984,1253420000000.0,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,19.12458082,985240000000.0,19.9282899,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,9.459264972,248977398506.52744,8.763753664,170702670.0,52.540794,62.88304901,72.35771179,79.70722037,127.1356098,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,2065430.0,12.87148394,422741118.0,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,54.2634697,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,18.03563739,64.62277934,5034.284453,248977398506.52744,298513611.0,248977398506.52744,248977398506.52744,248977398506.52744,248977398506.52744,60.02946556,11.42654123,6.803536617,13.06517767,124227507.0,29.38619028,3.716957913,73.72529159,22.59017031
Africa Eastern and Southern,2003,22.54830664,265220923241.27216,419123000000.0,2.323503595,966.150073,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,6.635665713,136.9561025,66.83709576,26.11122504,3.519209874,265220923241.27216,4.743444006,2.488971701,0.256028507,563877000000.0,265220923241.27216,3.096044863,1299.833172,265220923241.27216,0.466079711,2984.885215,7980.474399,1294870000000.0,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,18.80026583,1054270000000.0,20.12039162,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,8.112711761,265220923241.27216,7.44970014,175975304.0,53.02203459,63.53424835,72.72373199,76.54768154,121.4355149,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,2011774.0,17.70121853,433807484.0,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,55.93688965,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,16.93033505,64.16573502,4906.168817,265220923241.27216,304973519.0,265220923241.27216,265220923241.27216,265220923241.27216,265220923241.27216,57.38895938,10.68928366,6.741240926,13.07580952,128833965.0,29.69841935,3.70808214,73.95080252,22.47316683
Africa Eastern and Southern,2004,23.81588046,283590575737.07385,439238000000.0,2.098684829,986.426518,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,6.710734367,145.6635567,67.03069972,26.18554671,5.131101409,283590575737.07385,5.926362397,1.866595682,0.509107979,594932000000.0,283590575737.07385,5.507314937,1336.08018,283590575737.07385,2.788589203,3074.455911,8145.524111,1369000000000.0,283590575737.07385,3.74496007,18.00153923,283590575737.07385,18.8087929,1140110000000.0,21.57600794,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,9.839590577,283590575737.07385,5.023420686,181329835.0,53.54545711,64.81861115,73.92266846,73.41652113,115.8288668,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,1959235.0,19.67423131,445281555.0,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,57.25930023,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,16.94477679,63.27929192,4780.146756,283590575737.07385,311634089.0,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,58.27232656,10.64131462,6.535173175,12.83448022,133647466.0,30.0141481,3.736204967,73.89256436,22.78031596
Africa Eastern and Southern,2005,23.48115625,284474032168.0155,474776000000.0,5.283712893,1038.546463,284474032168.0155,284474032168.0155,2.944444444,3.416666667,284474032168.0155,284474032168.0155,284474032168.0155,6.528098173,154.0313151,67.20667361,28.01280954,9.484716516,284474032168.0155,5.551211138,2.064944399,0.273396937,631323000000.0,284474032168.0155,6.116924453,1380.986752,284474032168.0155,3.361068655,3184.171207,8389.213944,1455660000000.0,284474032168.0155,3.818970084,18.14314079,284474032168.0155,20.47206544,1223030000000.0,21.99299803,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,7.40752901,284474032168.0155,8.558038022,186818651.0,54.21965081,63.14611053,71.99643707,70.44796411,110.4719323,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,1910040.0,20.59525141,457153837.0,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,59.59049988,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,17.69127316,62.58716442,4656.992611,284474032168.0155,318408250.0,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,60.65337143,10.87901323,6.373502565,12.64992346,138745587.0,30.34986851,3.814603563,74.01336314,22.76919936
Africa Eastern and Southern,2006,24.74991289,326819996006.28296,517069000000.0,6.042259437,1101.298135,326819996006.28296,326819996006.28296,3.058823529,3.527777778,326819996006.28296,326819996006.28296,326819996006.28296,6.493182781,170.4369226,67.1103138,29.91768132,7.698230892,326819996006.28296,7.263224029,1.272093908,1.234540589,672747000000.0,326819996006.28296,6.561318237,1432.873966,326819996006.28296,3.757256466,3309.18226,8700.905366,1553690000000.0,326819996006.28296,3.784489989,18.00498962,326819996006.28296,22.64260209,1360500000000.0,23.09009011,0.910850872,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,8.5925531,326819996006.28296,8.898163802,192002021.0,55.15054611,61.25045013,70.01519012,67.74419542,105.4571817,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,1864684.0,25.53314224,469508516.0,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,61.89363861,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,18.47292394,62.30147126,4536.061126,326819996006.28296,325481776.0,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,61.05370839,11.17594862,6.347598161,12.58866174,144026740.0,30.67606551,3.806357459,73.92260905,22.92129162
Africa Eastern and Southern,2007,26.75159128,346460978285.70044,532043000000.0,0.144873648,1102.893626,346460978285.70044,346460978285.70044,2.944444444,3.5,346460978285.70044,346460978285.70044,346460978285.70044,6.469143886,183.5855457,66.97979863,32.28447003,10.24874995,346460978285.70044,5.538892646,2.481113521,0.667555721,716938000000.0,346460978285.70044,6.568776785,1486.169563,346460978285.70044,3.719489508,3439.42084,9023.19776,1659200000000.0,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,23.43462766,1447070000000.0,22.73591216,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,8.259570197,346460978285.70044,8.450774806,197191052.0,55.93380171,61.97698975,71.08601379,65.06835853,100.4112639,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,1814835.0,22.27298204,482406426.0,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,63.57569122,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,18.17346896,61.50253324,4416.684441,346460978285.70044,333175124.0,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,67.02657592,11.93426735,6.283420894,12.4897243,149231302.0,30.93476639,3.61360814,73.49523843,23.56105975
Africa Eastern and Southern,2008,25.91395846,363316823096.3012,516423000000.0,-5.548172501,1041.703185,363316823096.3012,363316823096.3012,2.944444444,3.5,363316823096.3012,363316823096.3012,363316823096.3012,6.299783177,189.1704876,66.84491549,35.84264626,4.6774172,363316823096.3012,3.022729696,3.244825248,0.098680281,747784000000.0,363316823096.3012,4.302481934,1508.392382,363316823096.3012,1.495308477,3500.345632,9143.290843,1735290000000.0,363316823096.3012,3.844995141,16.25814056,363316823096.3012,25.07701146,1513880000000.0,21.70317161,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,11.46303978,363316823096.3012,12.56664466,202509853.0,56.6804189,62.43222046,71.53096008,62.49700988,95.3811816,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,1763837.0,26.18091322,495748900.0,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,66.94953156,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,18.28864249,61.97701884,4299.555592,363316823096.3012,340365126.0,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,74.65678887,13.18883467,6.23256053,12.39184338,155383774.0,31.3432413,4.122775797,73.26398998,24.19932514
